"Vote Type (FOR=1,AGAINST=2)","County","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", LEGS 45,LEGS 26,LEGS 27C,LEGS 37B,LEGS 04,LEGS 47A,LEGS 08,LEGS 02A,LEGS 47B,LEGS 30A,LEGS 34A,LEGS 28,LEGS 44A,LEGS 07,LEGS 03B,LEGS 13,LEGS 17,LEGS 29B,LEGS 21,LEGS 31A,LEGS 34B,LEGS 44B,LEGS 12,LEGS 18,LEGS 11,LEGS 38B,LEGS 22,LEGS 31B,LEGS 33,LEGS 16,LEGS 20,LEGS 19,LEGS 23A,LEGS 32,LEGS 43,LEGS 25,LEGS 10,LEGS 36,LEGS 03A,LEGS 09B,LEGS 09A,LEGS 39,LEGS 29A,LEGS 05,LEGS 42A,LEGS 30B,LEGS 46,LEGS 27B,LEGS 35A,LEGS 14,LEGS 15,LEGS 01B,LEGS 29C,LEGS 40,LEGS 41,LEGS 35B,LEGS 24,LEGS 37A,LEGS 01A,LEGS 01C,LEGS 06,LEGS 42B,LEGS 38C,LEGS 02B,LEGS 27A,LEGS 23B,LEGS 38A
1,00,"Corey Stottlemyer",REP,State Senator          ,03,,,,,,,,,,,,,,,,,6500,,,,,,,,,,,,,,,,,,,,,,,,8073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator          ,03,,Y,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Dan Rupli",DEM,State Senator          ,04,,,,,,,12247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Michael Hough",REP,State Senator          ,04,Y,,,,,,27588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator          ,04,,Y,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Anita Riley",DEM,State Senator          ,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8037,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Joseph M. Getty",REP,State Senator          ,05,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31426,,,,,,,,,,,,,,,,,,,,,,,
1,00,"Other Write-Ins",BOT,State Senator          ,05,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,
1,00,"John Olszewski, Jr.",DEM,State Senator          ,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10868,,,,,,
1,00,"Johnny Ray Salling",REP,State Senator          ,06,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11549,,,,,,
1,00,"Scott M. Collier",UNF,State Senator          ,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1787,,,,,,
1,00,"Other Write-Ins",BOT,State Senator          ,06,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,
